AR110575;4;24;Aunque diga fresas;AR.73 AUNQUE DIGA FRESAS;;;13;;AUT;6427;6427;14;;;25;;;;3;;;9788467508741;9788467508741;1;17;36;220;21,00;13,00;1,00;38,50;38,50;0,00;;;;;PGR;;
AR110749;4;4;La voz de Monseñor Romero;GP. 89 VOZ DE MONSEÑOR ROMERO;Textos y homilías;;13;;AUT;7466;7466;15;;;490;;;;;;;9788428819879;9788428819879;1;10;20;288;22,00;14,60;1,70;260,00;260,00;0,00;;;;;PPC;;
AR111042;4;1;Diccionario Clave: diccionario de uso del español actual;DICCIONARIO CLAVE 06;Diccionario de uso del español actual;;13;;AUT,PRO;4601,5926;4601;14;;;;;;;;;;9788467509205;9788467509205;2;10;6;2000;23,00;16,00;6,50;302,50;302,50;;;;;;CON;;
AR111075;4;1;Diccionario de sinónimos y antónimos del español actual;DICC.SINONIMOS Y ANTONIMOS GRANDE 06;;;13;;AUT;4601;4601;14;;;;;;;;;;9788467507614;9788467507614;2;10;6;1024;22,00;18,00;5,50;72,60;72,60;0,00;;;;;CON;;
AR111201;4;24;Vestimos a Sirenita;VA.LA SIRENITA;;;13;;AUT,ILU;2435,5255;2435;3;;;476;;;;;;;9788467508123;9788467508123;6;17;60;12;29,50;19,00;0,30;0,00;0,00;0,00;;;;;PGR;;
AR111202;4;24;Vestimos a Blancanieves;VA.BLANCANIEVES;;;13;;AUT,ILU;2435,5255;2435;3;;;476;;;;;;;9788467508130;9788467508130;6;17;60;12;29,00;19,00;0,30;0,00;0,00;0,00;;;;;PGR;;
AR111399;4;24;Memorias de Idhún III. Panteón;MID.MEMORIAS DE IDHUN III-PANTEON;;;13;;AUT;2536;2536;12;;;344;;;;4;;;9788467511482;9788467511482;2;10;6;942;22,20;14,50;5,50;208,00;208,00;;;;;;PGR;;
AR111824;4;6;Didactired III. Funciones. Aspectos fonológicos y fonéticos;DIDACTIRED FUNCIONES VOL.III 06;;16;13;;AUT;4601;4601;18;;;;;;;;;;9788467510041;9788467510041;1;10;16;168;24,50;19,50;1,20;138,00;138,00;;;;;;ELE;;
AR111967;4;6;Protagonistas B1. Guía didáctica [Internacional];PROTAGONISTAS B1 GUIA DIDACTICA 10;;;17;;AUT,AUT,AUT;8615,8616,8625;8615,8616,8625;16;;;;;;;;;;9788467541199;9788467541199;9;10;36;112;29,00;21,50;0,50;144,00;144,00;;;;;;ELE;;
AR112343;4;6;Redes 1. Libro del alumno;REDES 1 LIBRO DEL ALUMNO 06;Curso de español para extranjeros;;13;;AUT,AUT,ILU;5932,5933,7187;5932,5933;16;;;;;;;;;;9788467509489;9788467509489;1;17;24;160;28,50;21,00;0,80;150,00;150,00;0,00;;;;;ELE;;
AR112344;4;6;Redes 1. Cuaderno de ejercicios;REDES 1 CUAD.DE EJERCICIOS 06;;;13;;AUT,AUT,ILU,ILU,ILU,ILU;5932,5934,7188,7189,7190,7918;5932,5934;16;;;;;;;;;;9788467509472;9788467509472;1;17;28;96;28,50;21,00;0,60;92,00;92,00;0,00;;;;;ELE;;
AR112345;4;6;Redes 2. Libro del alumno;REDES 2 LIBRO DEL ALUMNO 06;;;13;;AUT,AUT,ILU;5932,5934,7918;5932,5934;16;;;;;;;;;;9788467509496;9788467509496;1;17;24;160;28,50;21,00;0,90;150,00;150,00;0,00;;;;;ELE;;
AR112356;4;6;Redes 3. Libro Alumno;REDES 3 LIBRO DEL ALUMNO 06;;;13;;AUT,ILU;5934,2168;5934;16;;;;;;;;;;9788467509502;9788467509502;1;17;24;160;28,50;21,00;0,90;150,00;150,00;0,00;;;;;ELE;;
AR113244;4;24;El sueño de Lupe;GL.EL SUEÑO DE LUPE;;;13;;AUT,ILU;6601,6601;6601;3;;;275;;;;;;;9788467510614;9788467510614;1;10;15;20;26,70;26,60;3,00;119,00;119,00;0,00;;;;;PGR;;
AR113407;4;1;Imaginario;DICC.IMAGINARIO 07;Diccionario en Imágenes;;13;;AUT;5088;5088;2;;;;;;;;;;9788467517675;9788467517675;2;10;10;96;35,00;26,50;2,30;96,80;96,80;;;;;;PGR;;
AR113460;4;1;Words and Pictures;DICC.WORDS AND PICTURES-INGLES 07;Picture Dictinonary;;12;;AUT;5088;5088;2;;;;;;;;;;9788467517712;9788467517712;2;10;10;96;35,00;26,50;2,30;96,80;96,80;0,00;;;;;PGR;;
AR113461;4;1;Dicomages;DICC.DICOMAGES-FRANCES 07;Dictionnaire en images;;15;;AUT;5088;5088;2;;;;;;;;;;9788467517705;9788467517705;2;10;10;96;35,00;26,50;2,00;181,50;181,50;;;;;;PGR;;
AR113576;4;24;Detective Esqueleto [Skulduggery Pleasant];DESQ. 1 DETECTIVE ESQUELETO;;;13;;AUT;8270;8270;12;;;441;;;;5;;;9788467519846;9788467519846;2;17;18;336;22,20;16,00;2,00;75,00;75,00;0,00;;;;;PGR;;
AR113577;4;24;Detective Esqueleto: Jugando con fuego [Skulduggery Pleasant];DESQ. 2 DETECTIVE ESQUELETO:JUGANDO CON ;;;13;;AUT;8270;8270;12;;;441;;;;5;;;9788467530773;9788467530773;2;10;16;312;22,40;16,00;1,90;108,00;108,00;;;;;;PGR;;
AR113578;4;24;Detective Esqueleto: Los sin rostro [Skulduggery Pleasant];DESQ. 3 DETECTIVE ESQUELETO:LOS SIN ROST;;;13;;AUT;8270;8270;12;;;441;;;;5;;;9788467536157;9788467536157;2;10;16;354;22,30;16,00;2,10;108,00;108,00;0,00;;;;;PGR;;
AR113635;4;24;El camino que no iba a ninguna parte;BRO.EL CAMINO QUE NO IBA A NINGUNA PARTE;;;13;;AUT,ILU,TRA;2329,4957,2606;2329;4;;;57;;;;;;;9788467521696;9788467521696;2;10;20;32;33,80;23,50;0,90;93,00;93,00;;;;;;PGR;;
AR113949;4;24;La mejor familia del mundo;LA MEJOR FAMILIA DEL MUNDO;;;13;;AUT,ILU;8027,7596;8027;3;;;24;;;;;;;9788467526882;9788467526882;2;10;18;32;34,00;23,50;0,90;131,00;131,00;;;;;;PGR;;
AR113950;4;24;Un regalo del cielo;UN REGALO DEL CIELO;;;13;;AUT,ILU;7377,6153;7377;3;;;24;;;;;;;9788467518078;9788467518078;2;10;20;32;33,70;23,60;1,00;93,00;93,00;;;;;;PGR;;
AR114470;4;24;El castillo del miedo;EL CASTILLO DEL MIEDO;;;13;;AUT,ILU,TRA;8240,2661,4726;8240;3;;;;;;;14;;;9788467515459;9788467515459;2;10;10;12;29,00;28,00;2,60;249,00;249,00;0,00;;;;;PGR;;
AR114471;4;24;Mi libro mágico para dibujar con Lupe;GL.MI LIBRO MAGICO PARA DIBUJAR CON LUPE;;;13;;AUT,PER,TRA;6601,10503,4726;6601;3;;;275;;;;;;;9788467515466;9788467515466;2;17;18;14;25,70;25,70;1,70;79,00;79,00;0,00;;;;;PGR;;
AR114729;4;1;Ortografía Escolar;ORTOGRAFIA ESCOLAR 07;;;13;;AUT;4280;4280;12;;;;;;;;;;9788467515473;9788467515473;1;17;16;432;23,00;15,70;2,70;60,50;60,50;0,00;;;;;CON;;
AR114730;4;1;Ortografía de uso del español actual;ORTOGRAFIA DE USO DEL ESPAÑOL;Colección Gómez Torrego;;13;;AUT;4280;4280;16;;;;;;;;;;9788467515688;9788467515688;1;10;14;450;23,00;16,00;3,00;84,70;84,70;;;;;;CON;;
AR114827;4;24;La invención de Hugo Cabret;LA INVENCION DE HUGO CABRET;;;13;;AUT;8271;8271;12;;;379;;;;5;;;9788467520446;9788467520446;2;10;8;534;22,00;15,50;4,60;219,00;219,00;;;;;;PGR;;
AR115014;4;24;Cuando estoy triste;S.CUANDO ESTOY TRISTE;;;13;;AUT,TRA;5304,4726;5304;3;;;435;;;;;;;9788467516760;9788467516760;2;17;36;24;21,00;21,00;0,90;49,00;49,00;0,00;;;;;PGR;;
AR115015;4;24;Cuando estoy contento;S.CUANDO ESTOY CONTENTO;;;13;;AUT,TRA;5304,4726;5304;3;;;435;;;;;;;9788467516777;9788467516777;2;10;36;24;21,00;21,00;0,90;93,00;93,00;;;;;;PGR;;
AR115029;4;24;Cuando tengo miedo;S.CUANDO TENGO MIEDO;;;13;;AUT,TRA;5304,4726;5304;3;;;435;;;;;;;9788467516814;9788467516814;2;10;36;24;21,00;21,00;1,00;93,00;93,00;;;;;;PGR;;
AR115091;4;4;Itinerario para una espiritualidad de la ternura;PAP. 6 ITINERARIO PARA UNA ESPIRITUALIDA;;;13;;AUT,AUT,ILU;8318,8319,8320;8318,8319;18;;;394;;;;;;;9788428820240;9788428820240;1;10;24;128;24,00;17,00;0,80;100,00;100,00;0,00;;;;;PPC;;
AR115371;4;24;El Club de los Valientes;CPSE.EL CLUB DE LOS VALIENTES;;;13;;AUT,ILU;6416,7514;6416;3;;;142;37;;;;;;9788467526424;9788467526424;2;10;22;29;22,00;21,80;1,00;90,00;90,00;;;;;;PGR;;
AR116340;4;24;La obra;BVN.198 LA OBRA;;;13;;AUT,ILU;8469,2447;8469;9;;;373;;;0;3;;;9788467523010;9788467523010;1;17;44;128;19,00;12,00;0,80;32,50;32,50;0,00;;;;;PGR;;
AR116697;4;6;Gramática de uso del Español. A1-A2;GRAMATICA DE USO DEL ESPAÑOL NIVEL A 09;Teoría y práctica, con solucionario;;13;;AUT,AUT,ILU;4351,5938,2064;4351,5938;12;;;;;;;;;;9788467521078;9788467521078;2;10;12;256;29,60;21,60;1,70;138,00;138,00;;;;;;ELE;;
AR116698;4;6;Gramática de uso del Español. B1-B2;GRAMATICA DE USO DEL ESPAÑOL NIVEL B 09;Teoría y práctica con solucionario;;13;;AUT,AUT;4351,5938;4351,5938;14;;;;;;;;;;9788467521085;9788467521085;3;10;11;271;29,50;22,00;1,90;138,00;138,00;;;;;;ELE;;
AR117006;4;24;La puerta oscura I. El viajero;LA PUERTA OSCURA I-EL VIAJERO;;;13;;AUT;7676;7676;14;;;282;;;;;;;9788467527216;9788467527216;2;10;8;658;22,50;14,50;5,00;123,00;123,00;;;;;;PGR;;
AR117009;4;24;Siete cuentos crudos;CUENTOS CRUDOS;Aunque este no sea un buen sitio para nacer;;13;;AUT,ILU;2750,7176;2750;14;;;;;;;3;;;9788467521504;9788467521504;2;10;13;140;27,80;24,60;1,50;188,00;188,00;;;;;;PGR;;
AR117030;4;6;Aula Amigos 1  Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 1 07;;;13;;AUT,AUT,AUT;7844,7845,7846;7844,7845,7846;10;;;;;;;;;;9788467520965;9788467520965;1;10;38;80;29,00;21,00;0,50;18,15;18,15;;;;;;ELE;;
AR117031;4;6;Aula Amigos 2 Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 2 07;;;13;;AUT,AUT,AUT;7844,7845,7846;7844,7845,7846;11;;;;;;;;;;9788467520972;9788467520972;1;10;40;80;29,00;21,00;0,50;18,15;18,15;;;;;;ELE;;
AR117032;4;6;Aula Amigos 3 Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 3 07;;;13;;AUT,AUT,AUT;7844,7845,7846;7844,7845,7846;12;;;;;;;;;;9788467520989;9788467520989;1;10;40;80;29,00;21,00;0,60;18,15;18,15;;;;;;ELE;;
