AR118154;4;4;Francisco de Asís y Clara;FA. 8 FRANCISCO DE ASIS Y CLARA;;;13;;AUT;
AR118275;4;6;Claves del español para hablantes de chino;CLAVES DEL ESPAÑOL PARA CHINO 08;;;32;;AUT;
AR118286;4;6;Claves del español para hablantes de japonés;CLAVES DEL ESPAÑOL PARA JAPONESES 08;;;35;;AUT,AUT;
AR118288;4;6;Claves del español para hablantes de polaco;CLAVES DEL ESPAÑOL PARA POLACO 08;;;13;;AUT;
AR118459;4;6;Protagonistas A1. Libro del alumno [Internacional];PROTAGONISTAS A1 LIBRO DEL ALUMNO+CD 09;;;13;;AUT,AUT,AUT;
AR118460;4;6;Protagonistas A1. Cuaderno de Refuerzo [Internacional];PROTAGONISTAS A1 CUAD.DE REFUERZO 09;;;13;;AUT,AUT,AUT;
AR118462;4;6;Protagonistas A2. Libro del alumno + CD [Internacional];PROTAGONISTAS A2 LIBRO DEL ALUMNO+CD 09;;;13;;AUT,AUT,AUT;
AR118464;4;6;Protagonistas B1. Libro del alumno + CD [Internacional];PROTAGONISTAS B1 LIBRO DEL ALUMNO+CD 10 ;;19;13;;AUT,AUT,AUT;
AR118609;4;6;Protagonistas A2. Cuaderno de Refuerzo [Internacional];PROTAGONISTAS A2 CUAD.DE REFUERZO 10;;;13;;AUT;
AR118610;4;6;Protagonistas B1. Cuaderno de Refuerzo [Internacional];PROTAGONISTAS B1 CUAD.DE REFUERZO 10;;;13;;AUT,ILU,ILU;
AR118756;4;4;Acompañar;PAP.10 ACOMPAÑAR;El acompañamiento pastoral a los adolescentes en la escuela;;13;;AUT;
AR118767;4;4;San Pablo nos habla hoy;SA.159 SAN PABLO NOS HABLA HOY;50 textos para vivir y orar;;13;;AUT,AUT;
AR118929;4;4;María, una mujer judía;SA.161 MARIA UNA MUJER JUDIA;;;13;;AUT,TRA,TRA;
AR119231;4;4;Relatos para el despertar religioso;DJ. 8 RELATOS PARA EL DESPERTAR RELIGIOS;;;13;;AUT;
AR119258;4;24;Operación cenicienta;OPERACION CENICIENTA.LA HISTORIA QUE NUN;;;13;;AUT,ILU,TRA;
AR119318;4;24;La feria de las hadas;LA FERIA DE LAS HADAS;;;13;;AUT;
AR119321;4;24;Animales;ANIMALES;;;13;;AUT,AUT,TRA;
AR119335;4;4;Francisco de Asís y la ética global;FA. 4 FRANCISCO DE ASIS Y ETICA GLOBAL;;;13;;AUT;
AR119396;4;4;Francisco de Asís y la ecología;FA. 5 FRANCISCO Y LA ECOLOGIA;;;13;;AUT;
AR119497;4;24;El cuerpo humano en pop up: sistemas respiratorio y circulatorio;CHP.SISTEMAS RESPIRATORIO Y CI;;;13;;AUT,TRA;
AR121648;4;4;La fiesta de nuestro matrimonio;DJ.LA FIESTA DE NUESTRO MATRIMONIO;;;13;;12,AUT,TRA;
AR122066;4;4;Relatos para anunciar que Jesús es el Señor;DJ.10 RELATOS PARA ANUNCIAR QUE JESUS SE;;;13;;AUT;
AR122144;4;4;Orar para vivir;ORAR PARA VIVIR;Invitación a la práctica de la oración;;13;;AUT;
AR122177;4;1;Diccionario General. Lengua española;DICC.GENERAL 09;;;13;;AUT,AUT;
AR122433;4;24;La ropa de Lulú;LA ROPA DE LULU;;;13;;AUT,ILU,TRA;
AR122853;4;24;El viaje más largo del mundo;El viaje mas largo del mundo;;;13;;AUT;
AR122854;4;24;¿Quién le tiene miedo a Demetrio Latov?;¿Quien le tiene miedo a Demetrio Latov?;;;13;;AUT;
AR123092;4;24;Habría que...;Habría que...;;;13;;AUT,ILU;
AR123313;4;4;El espíritu del educador;El espiritu del educador;;;13;;AUT;
AR123562;4;24;Lupe se divierte;LC.LUPE SE DIVIERTE;;;13;;AUT,TRA;
AR123563;4;24;Primeras palabras con Lupe;PRIMERAS PALABRAS CON LUPE;;;13;;AUT,TRA;
AR123641;4;24;Emily the Strange: Los días perdidos;EMILY THE ESTRANGE.LOS DIAS PE;;;13;;AUT,AUT,ILU,ILU,TRA;
